id,name,category,em_peak_nm,quantum_yield,brightness,coupling_score,effective_wavelength_nm,total_emission_au,coupled_emission_au,peak_transmission,composite_score,rank_coupling,rank_composite,cat_order
10b,10B,Green,525,0.5,1000.0,0.9875873556247432,525.032137945908,42.57868077724506,42.05016675478954,0.9877731903169085,0.4938651260506944,235,61,3
11,11,Green,512,0.5,1000.0,0.9860882847795353,512.0347235718066,42.578680776326955,41.98633829490362,0.9861701651364913,0.4931154821759414,326,72,3
5b,5B,Green,524,0.5,1000.0,0.9874768225851249,524.0324508686991,42.57868077724286,42.045460403778115,0.9876785708679144,0.4938098515342347,240,62,3
a44-kr,A44-KR,Green,520,0.5,1000.0,0.9870249776536308,520.0335307690697,42.578680777214394,42.02622144265112,0.987192798326778,0.4935838963792028,247,64,3
aausfp1,AausFP1,Green,510,0.97,164.9,0.9858506978058817,510.03478811178377,42.578680775224676,41.97622215390913,0.9858543089091881,0.7075946651411539,349,3,3
aausfp4,AausFP4,Green,513,0.5,1000.0,0.9862068482445752,513.0346538364346,42.57868077662989,41.99138657113204,0.9862747615046417,0.4931747724860831,316,70,3
aausgfp,AausGFP,Green,503,0.73,21.17,0.9850237983195504,503.03415650933266,42.57868074872406,41.9410138385437,0.9848991201908175,0.3225654004387454,422,219,3
acegfp-g222e-y220l,aceGFP-G222E-Y220L,Green,508,0.5,1000.0,0.9856130809029338,508.03474819580856,42.5786807728646,41.96610473732559,0.9856424628352332,0.4928778458584239,376,83,3
acegfp-h,aceGFP-h,Green,505,0.5,1000.0,0.9852582103040256,505.03448075081525,42.578680763624774,41.95099480627539,0.9852174337860274,0.49270038488541396,404,90,3
acgfp1,AcGFP1,Green,505,0.55,27.5,0.9852582103040256,505.03448075081525,42.578680763624774,41.95099480627539,0.9852174337860274,0.2627896045576992,404,268,3
achilles,Achilles,Green,525,0.64,70.4,0.9875873556247432,525.032137945908,42.57868077724506,42.05016675478954,0.9877731903169085,0.39054696855346077,235,166,3
adred-c148s,AdRed-C148S,Orange,599,0.5,1000.0,0.9920002294398576,599.0091309856745,42.57868077724905,42.238061100277505,0.9919346573118925,0.49607188221310855,116,48,5
afcfp,afCFP,Green,499,0.79,23.7,0.9845638797145534,499.0331358005688,42.57868065718158,41.921431020961705,0.9844781765301839,0.36108243376623333,440,188,3
amcyan1,amCyan1,Cyan,486,0.5,1000.0,0.9832299829479348,486.0260645480923,42.57867194130086,41.86462688679096,0.9828249805936369,0.4916861244727322,463,100,2
amfp495,amFP495,Green,495,0.08,1000.0,0.984121653725189,495.03158978768806,42.578680298443274,41.90260126874012,0.9839630450258853,0.07874112389926291,450,400,3
amfp506,amFP506,Green,506,0.67,1000.0,0.9853761660105474,506.03459845110604,42.57868076788095,41.95601720884156,0.9853237321269843,0.6602975575049188,393,11,3
amfp515,amFP515,Green,515,0.006,1000.0,0.9864430976843735,515.0344428789865,42.57868077697271,42.00144576095105,0.9864826671687341,0.00591951497157291,294,492,3
amilgfp,amilGFP,Green,512,0.67,50.38,0.9860882847795353,512.0347235718066,42.578680776326955,41.98633829490362,0.9861701651364913,0.3767619977131782,326,182,3
aq143,AQ143,Far-Red,655,0.04,3.6,0.9931910018932061,655.0007348884712,42.57868077724905,42.288762620446974,0.9932788697908489,0.008776601531471886,25,488,7
aq14,AQ14,Far-Red,663,0.5,1000.0,0.993196210424494,662.9997482651228,42.57868077724903,42.28898439283799,0.9932399878017037,0.496669959230162,21,41,7
aquamarine,Aquamarine,Cyan,474,0.89,23.14,0.9823923866391029,474.01459612435,42.5783982750552,41.82869430070174,0.9817594108052047,0.4029892002398099,497,156,2
