name,type,subtype,em_peak_nm,tau_rise_ms,delta_f_f,quantum_yield,photostability,reference,coupling_score,brightness_score,kinetics_score,photostability_score,sensitivity_score,pnph_score
jGCaMP8f,GECI,Calcium,515,2.0,15.0,0.6,0.85,Zhang et al. 2023 Nature,0.9864430976676435,0.5372562877153347,0.6703200460356393,0.85,0.6007619328947519,0.7199722751644559
jGCaMP8m,GECI,Calcium,515,5.0,20.0,0.6,0.85,Zhang et al. 2023 Nature,0.9864430976676435,0.5406196259772493,0.36787944117144233,0.85,0.6596842761989657,0.6568192602616324
jGCaMP8s,GECI,Calcium,515,8.0,25.0,0.6,0.85,Zhang et al. 2023 Nature,0.9864430976676435,0.5336608249898955,0.20189651799465538,0.85,0.7059613126314263,0.623187176556457
jGCaMP7f,GECI,Calcium,515,20.0,10.0,0.59,0.8,Dana et al. 2019 Nat Methods,0.9864430976676435,0.5189589708522587,0.01831563888873418,0.8,0.5195737064824407,0.5295740647226521
jGCaMP7s,GECI,Calcium,515,30.0,12.0,0.59,0.8,Dana et al. 2019 Nat Methods,0.9864430976676435,0.5209688260514556,0.0024787521766663585,0.8,0.5557708294077383,0.5332562386695341
GCaMP6f,GECI,Calcium,512,45.0,8.0,0.59,0.75,Chen et al. 2013 Nature,0.986088284760214,0.5124082056817567,0.00012340980408667956,0.75,0.4760925677494707,0.50744866408931
GCaMP6s,GECI,Calcium,512,180.0,15.0,0.61,0.75,Chen et al. 2013 Nature,0.986088284760214,0.5365508003726742,2.3195228302435696e-16,0.75,0.6007619328947519,0.5371802036055281
jRGECO1a,GECI,Calcium,590,15.0,10.0,0.39,0.7,Dana et al. 2016 eLife,0.9917184977534648,0.32573737646237466,0.049787068367863944,0.7,0.5195737064824407,0.484852683231622
jRCaMP1a,GECI,Calcium,595,25.0,8.0,0.35,0.65,Dana et al. 2016 eLife,0.9918749730853696,0.2855452205022596,0.006737946999085467,0.65,0.4760925677494707,0.44988703901719135
ASAP3,GEVI,Voltage,510,0.9,-50.0,0.3,0.6,Villette et al. 2019 Cell,0.9858506977849335,0.2341886562245723,0.835270211411272,0.6,0.8519443031609923,0.7132142842869177
ASAP4b,GEVI,Voltage,510,1.5,30.0,0.28,0.85,Evans et al. 2023 Nat Methods,0.9858506977849335,0.21532896434850896,0.7408182206817179,0.85,0.7440731378420168,0.7017551151655214
ASAP4e,GEVI,Voltage,510,1.2,41.0,0.3,0.85,Evans et al. 2023 Nat Methods,0.9858506977849335,0.2325071499277541,0.7866278610665535,0.85,0.8098747594226537,0.7298034866937066
ASAP5,GEVI,Voltage,510,0.78,-35.0,0.32,0.7,Tiwari et al. 2024 Neuron,0.9858506977849335,0.2514860810353593,0.8555591903710185,0.7,0.7764735341968466,0.7216518601961824
jASAP,GEVI,Voltage,510,0.85,-55.0,0.33,0.75,Janelia GENIE Project,0.9858506977849335,0.2609831902722744,0.8436648165963837,0.75,0.8722094419952943,0.7472248701595963
Voltron,GEVI,Voltage-Opsin,545,0.5,-23.0,0.05,0.9,Abdelfattah et al. 2019 Science,0.9895126216170316,0.03477265995424853,0.9048374180359595,0.9,0.6886177335457991,0.7037899575324058
Voltron2,GEVI,Voltage-Opsin,550,0.4,-30.0,0.08,0.92,Abdelfattah et al. 2022,0.9898932771318323,0.05763469682206396,0.9231163463866358,0.92,0.7440731378420168,0.7270993089558416
ArcLight,GEVI,Voltage,510,10.0,-35.0,0.35,0.7,Jin et al. 2012 Neuron,0.9858506977849335,0.28000303990938036,0.1353352832366127,0.7,0.7764735341968466,0.5472992751873852
